entity_id,state,last_changed
sensor.elmatare_active_power_l1,0.005,2026-07-02T22:13:51.964Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:14:01.956Z
sensor.elmatare_active_power_l1,0.046,2026-07-02T22:14:12.094Z
sensor.elmatare_active_power_l1,0.052,2026-07-02T22:14:21.961Z
sensor.elmatare_active_power_l1,0.043,2026-07-02T22:14:31.954Z
sensor.elmatare_active_power_l1,0.046,2026-07-02T22:14:41.982Z
sensor.elmatare_active_power_l1,0.048,2026-07-02T22:14:51.970Z
sensor.elmatare_active_power_l1,0.052,2026-07-02T22:15:02.465Z
sensor.elmatare_active_power_l1,0.043,2026-07-02T22:15:12.078Z
sensor.elmatare_active_power_l1,0.047,2026-07-02T22:15:21.967Z
sensor.elmatare_active_power_l1,0.043,2026-07-02T22:15:31.954Z
sensor.elmatare_active_power_l1,0.047,2026-07-02T22:15:42.043Z
sensor.elmatare_active_power_l1,0.052,2026-07-02T22:16:12.017Z
sensor.elmatare_active_power_l1,0.049,2026-07-02T22:16:21.958Z
sensor.elmatare_active_power_l1,0.048,2026-07-02T22:16:31.973Z
sensor.elmatare_active_power_l1,0.047,2026-07-02T22:16:42.153Z
sensor.elmatare_active_power_l1,0.040,2026-07-02T22:16:52.094Z
sensor.elmatare_active_power_l1,0.050,2026-07-02T22:17:01.965Z
sensor.elmatare_active_power_l1,-0.008,2026-07-02T22:17:12.070Z
sensor.elmatare_active_power_l1,-0.010,2026-07-02T22:17:31.963Z
sensor.elmatare_active_power_l1,-0.015,2026-07-02T22:17:42.078Z
sensor.elmatare_active_power_l1,-0.006,2026-07-02T22:17:51.969Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:18:01.996Z
sensor.elmatare_active_power_l1,-0.007,2026-07-02T22:18:11.946Z
sensor.elmatare_active_power_l1,-0.006,2026-07-02T22:18:21.969Z
sensor.elmatare_active_power_l1,-0.004,2026-07-02T22:18:32.082Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:18:41.942Z
sensor.elmatare_active_power_l1,0.005,2026-07-02T22:18:51.972Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:19:01.979Z
sensor.elmatare_active_power_l1,-0.004,2026-07-02T22:19:22.080Z
sensor.elmatare_active_power_l1,0.003,2026-07-02T22:19:32.076Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:19:41.948Z
sensor.elmatare_active_power_l1,0.006,2026-07-02T22:19:52.001Z
sensor.elmatare_active_power_l1,0.011,2026-07-02T22:20:02.061Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:20:11.944Z
sensor.elmatare_active_power_l1,-0.004,2026-07-02T22:20:22.095Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:20:31.998Z
sensor.elmatare_active_power_l1,0.006,2026-07-02T22:20:51.969Z
sensor.elmatare_active_power_l1,0.004,2026-07-02T22:21:01.958Z
sensor.elmatare_active_power_l1,0.000,2026-07-02T22:21:12.080Z
sensor.elmatare_active_power_l1,0.005,2026-07-02T22:21:21.970Z
sensor.elmatare_active_power_l1,0.003,2026-07-02T22:21:32.047Z
sensor.elmatare_active_power_l1,0.005,2026-07-02T22:21:41.958Z
sensor.elmatare_active_power_l1,0.004,2026-07-02T22:21:51.968Z
sensor.elmatare_active_power_l1,0.003,2026-07-02T22:22:02.101Z
sensor.elmatare_active_power_l1,0.008,2026-07-02T22:22:12.073Z
sensor.elmatare_active_power_l1,0.003,2026-07-02T22:22:31.954Z
